stop_id,auth_name,bearing_code,jurisdiction,kcm_managed_equipment,route_list,num_shelters,yrly_rel,yrly_rel_mins,stop_name
39429,Seattle,W,SEA,YES,22,0,168.05212489167155,2.800868748194526,SW Thistle St & 28th Ave SW
31590,Seattle,W,SEA,YES,113 128 60,1,167.6561709203766,2.79426951533961,SW Roxbury St & 15th Ave SW
8401,Seattle,N,SEA,YES,106 7 987EN 9E,1,167.4844386496555,2.7914073108275916,Rainier Ave S & S Forest St
1530,Seattle,W,SEA,YES,1 13 14N 2N 36N 3N 4N 62 7 70,0,166.84545081939893,2.7807575136566487,S Jackson St & 5th Ave S
11352,Seattle,N,SEA,YES,271 372E 44 48 49N 542E 556E 70,1,165.84313426614716,2.7640522377691195,15th Ave NE & NE 42nd St
3860,Seattle,S,SEA,YES,36,0,165.32796698483648,2.7554661164139413,Beacon Ave S & S Spokane St
8760,Seattle,S,SEA,YES,50 7 9E,1,164.98960133444047,2.749826688907341,Rainier Ave S & S Genesee St
55780,Seattle,N,SEA,YES,106,0,164.7836010910293,2.7463933515171552,Martin L King Jr Way S & S Alaska St
12860,Seattle,W,SEA,YES,193E 3 303 322 4,1,164.71684422713687,2.745280737118948,Jefferson St & Broadway
1180,Seattle,E,SEA,YES,10 11 12 3 49,0,164.54997675686542,2.7424996126144237,Pike St & 4th Ave
40032,Seattle,W,SEA,YES,40,1,164.38636049071923,2.7397726748453204,N 105th St & Aurora Ave N
7160,Seattle,S,SEA,YES,E,1,164.12580471563052,2.735430078593842,Aurora Ave N & N 84th St
11085,Seattle,S,SEA,YES,193E 303 322,0,163.68663201263314,2.7281105335438856,Boren Ave & Madison St
30460,Seattle,W,SEA,YES,50,1,163.3083806991388,2.7218063449856467,S Columbian Way & Beacon Ave S
450,Seattle,S,SEA,YES,13N 14 17EN 1N 2 3 36 4 40N 49N 62N 7 70N,0,162.68792148912968,2.7114653581521613,3rd Ave & Union St
29262,Seattle,W,SEA,YES,11 43 8,2,162.5391038146428,2.70898506357738,E John St & Broadway E
6176,Unknown,S,SEA,UNK,28E 5 E,2,162.5080109766503,2.708466849610838,7th Ave N & Thomas St
16440,Seattle,S,SEA,YES,67,1,161.53950170239906,2.6923250283733178,Roosevelt Way NE & NE 65th St
